x1,x2,label
-1.4472,-0.2109,0
0.7985,0.9340,1
-2.4567,-0.6591,0
-3.2056,-0.8126,0
-1.1698,-0.6984,0
-0.5220,-1.1082,0
1.3929,0.0376,1
-2.2356,-0.6520,0
0.6501,0.6294,1
2.7633,1.1120,1
-1.1802,-1.6338,0
-0.2186,-1.1675,0
1.7368,0.7397,1
2.7587,1.2701,1
-0.9569,-0.9527,0
0.4776,1.1208,1
-1.2687,-0.5581,0
-2.1927,-0.3222,0
-1.9897,-1.0986,0
1.1006,0.1705,1
0.6144,0.3737,1
-1.5912,-1.5881,0
-2.6766,-1.7109,0
2.6772,-0.7967,1
-1.8427,-1.2465,0
0.8254,0.1468,1
-1.7850,-0.4837,0
1.3731,0.2750,1
1.5425,1.0001,1
2.4529,1.1839,1
1.1713,1.7744,1
0.1603,0.6596,1
-0.6472,-0.8901,0
1.5724,1.1598,1
-0.8136,-1.1339,0
-0.9054,-0.6198,0
-2.5582,-1.6981,0
1.8430,2.0750,1
1.6243,1.2462,1
-1.1260,-1.6015,0
-0.8029,-0.8435,0
1.8478,0.7367,1
3.5140,2.3138,1
-1.8118,-1.9637,0
-2.2469,-1.1438,0
0.9167,0.5421,1
1.7525,1.8441,1
1.4222,2.4652,1
2.8830,0.3092,1
-1.7904,-1.2672,0
-1.5134,-1.5971,0
-1.2050,-1.6712,0
1.7701,1.9852,1
3.8241,0.1799,1
-1.1525,-0.8336,0
2.0147,0.7238,1
-1.3240,-0.0486,0
1.3764,0.5128,1
0.4055,2.1556,1
-2.6657,-1.2238,0
0.8896,0.2213,1
1.8841,-0.2212,1
1.3209,1.1697,1
1.6466,0.1429,1
-0.2178,0.8861,1
-1.1346,-1.4633,0
2.2327,0.0715,1
0.9762,1.3123,1
-1.1154,-0.6874,0
-1.0742,-0.7442,0
-3.0608,-1.9115,0
-1.3861,-0.5167,0
-0.9677,-1.0689,0
1.8772,1.7089,1
1.2379,1.7019,1
1.6042,1.6879,1
1.3038,1.5441,1
-2.3188,-0.8745,0
1.5245,0.6611,1
-0.1401,0.9659,1
-0.7972,-1.0349,0
1.6857,0.6113,1
3.2028,0.4250,1
1.2054,1.2391,1
-1.1685,-1.6927,0
0.2133,-1.2845,0
-1.8386,-1.0558,0
1.4570,2.2376,1
-1.8763,-1.4472,0
3.2034,0.0988,1
1.1935,2.0230,1
-1.9753,-2.0122,0
0.0938,-0.0269,1
-2.8499,-2.0130,0
-2.0324,-0.8375,0
-1.9098,-1.5696,0
0.9228,1.2215,1
2.2453,1.2695,1
-2.2600,-1.2373,0
0.0946,1.2296,1
1.2663,0.9276,1
-1.3977,-1.2214,0
1.6413,0.2409,1
-2.0118,-1.6486,0
-1.4067,-0.8469,0
-0.9919,-1.1556,0
0.3292,0.5865,1
2.8789,0.8743,1
-2.5205,-1.7933,0
1.5725,1.4508,1
-0.8278,-2.2091,0
-1.8418,-0.8890,0
2.2420,1.3181,1
-1.4423,-1.3706,0
-0.3294,-1.8321,0
0.7279,0.4923,1
0.6226,2.2858,1
-1.2562,-1.7280,0
-2.8463,-1.2344,0
1.3105,1.1236,1
-2.1596,-0.5446,0
-1.0072,-0.2097,0
-0.8319,-0.7502,0
1.4051,1.2001,1
1.1360,0.1421,1
0.7975,0.7661,1
-1.8025,-0.0905,0
-1.7201,0.0465,0
2.5448,1.1536,1
1.3747,0.9715,1
-0.8996,-0.3416,0
-2.1504,-1.2908,0
1.9305,1.9362,1
2.1708,0.3680,1
-1.2492,-0.4133,0
1.7110,1.0367,1
1.2984,1.1068,1
0.8174,0.7988,1
-1.3698,-0.5896,0
1.3095,0.8135,1
-1.7790,-1.3236,0
1.4959,0.8856,1
-0.9995,-1.2165,0
-1.3139,-0.9847,0
-1.6479,-1.4767,0
0.0974,1.0397,0
-1.8755,-0.9913,0
-0.7965,-0.4555,0
0.6117,0.6699,1
-0.9310,-0.4447,0
